Flash time (UTC)                 (    Lat,     Lon)   Radiance  Milliseconds  Groups  Events Orbit-ID
2018-056T23:09:26.9166Z [Feb 25] ( 23.984,  90.515)        254           537       8      21     6542
2018-056T23:09:27.4337Z [Feb 25] ( 24.225,  91.603)         59             0       1       4     6542
2018-056T23:09:27.7618Z [Feb 25] ( 24.078,  91.541)        234           243       7      19     6542
2018-056T23:09:28.3543Z [Feb 25] ( 23.877,  91.128)        286           220       6      21     6542
2018-056T23:09:28.6427Z [Feb 25] ( 24.494,  91.818)        316            12       6      22     6542
2018-056T23:09:28.8000Z [Feb 25] ( 23.887,  91.224)        198            98       5      12     6542
2018-056T23:09:30.3793Z [Feb 25] ( 22.906,  90.828)        952           220      15      51     6542
2018-056T23:09:30.5688Z [Feb 25] ( 23.846,  90.573)        795           349      12      41     6542
2018-056T23:09:31.0577Z [Feb 25] ( 26.740,  89.009)         53           146       3       4     6542
2018-056T23:09:31.5627Z [Feb 25] ( 23.683,  89.842)       1414           690      25      80     6542
2018-056T23:09:31.9728Z [Feb 25] ( 21.683,  87.560)        499           302      16      25     6542
2018-056T23:09:32.0873Z [Feb 25] ( 26.629,  88.428)         37            76       3       3     6542
2018-056T23:09:32.1014Z [Feb 25] ( 21.672,  87.597)        195           195      11      17     6542
2018-056T23:09:32.2160Z [Feb 25] ( 25.458,  90.388)         76            53       3       7     6542
2018-056T23:09:32.3451Z [Feb 25] ( 25.284,  91.913)         88           100       2       6     6542
2018-056T23:09:32.7566Z [Feb 25] ( 23.703,  89.836)         57             0       1       4     6542
2018-056T23:09:32.7782Z [Feb 25] ( 23.716,  89.706)       1687           626      16      78     6542
2018-056T23:09:32.9571Z [Feb 25] ( 23.646,  89.640)       3159           521      21     136     6542
2018-056T23:09:33.4245Z [Feb 25] ( 23.722,  89.578)         32             0       1       3     6542
2018-056T23:09:33.9651Z [Feb 25] ( 23.018,  90.896)        392           275      12      23     6542
2018-056T23:09:34.8963Z [Feb 25] ( 23.080,  90.763)         58            60       4       5     6542
2018-056T23:09:35.2239Z [Feb 25] ( 24.193,  91.569)       3902           410      34     156     6542
2018-056T23:09:35.4641Z [Feb 25] ( 22.808,  90.769)        201             1       2       8     6542
2018-056T23:09:35.6018Z [Feb 25] ( 24.113,  90.610)        213           185       4      14     6542
2018-056T23:09:35.9429Z [Feb 25] ( 24.137,  90.104)       2716           486      31     141     6542
2018-056T23:09:36.5087Z [Feb 25] ( 24.868,  93.083)         51           374       5       5     6542
2018-056T23:09:36.6429Z [Feb 25] ( 26.599,  88.463)        176           177       3       9     6542
2018-056T23:09:36.6625Z [Feb 25] ( 24.814,  92.953)       1239           194      21      54     6542
2018-056T23:09:36.6665Z [Feb 25] ( 24.821,  92.995)       3522           194      21     130     6542
2018-056T23:09:36.7308Z [Feb 25] ( 25.032,  92.750)         79           117       3       6     6542
2018-056T23:09:36.7323Z [Feb 25] ( 24.824,  93.044)        558           154      12      27     6542
2018-056T23:09:36.7962Z [Feb 25] ( 25.069,  92.769)         22             5       2       2     6542
2018-056T23:09:37.2223Z [Feb 25] ( 25.009,  92.741)       2297           436      26     114     6542
2018-056T23:09:37.2957Z [Feb 25] ( 23.862,  90.009)       1279           361      19      57     6542
2018-056T23:09:37.3369Z [Feb 25] ( 24.208,  91.556)         47           160       2       4     6542
2018-056T23:09:37.6660Z [Feb 25] ( 23.089,  90.827)         51            93       4       5     6542
2018-056T23:09:38.1906Z [Feb 25] ( 23.773,  91.260)       1028           224      14      49     6542
2018-056T23:09:38.3268Z [Feb 25] ( 23.815,  91.334)         55             3       3       5     6542
2018-056T23:09:38.3680Z [Feb 25] ( 23.874,  91.328)         12             0       1       1     6542
2018-056T23:09:39.7876Z [Feb 25] ( 24.569,  92.418)      10506          2249     113     492     6542
2018-056T23:09:39.7896Z [Feb 25] ( 24.504,  92.486)        159             0       1      10     6542
2018-056T23:09:40.5639Z [Feb 25] ( 24.504,  92.567)       6859           730      51     315     6542
2018-056T23:09:40.6961Z [Feb 25] ( 24.001,  90.528)        180           213       8      14     6542
2018-056T23:09:40.9790Z [Feb 25] ( 24.501,  92.679)        215           319       6      17     6542
2018-056T23:09:41.1262Z [Feb 25] ( 24.726,  92.254)      20424          1240     158     787     6542
2018-056T23:09:41.3035Z [Feb 25] ( 26.580,  88.482)         22           141       2       2     6542
2018-056T23:09:41.3050Z [Feb 25] ( 24.693,  92.116)        310           137       7      26     6542
2018-056T23:09:41.3211Z [Feb 25] ( 24.568,  92.646)         79            64       2       7     6542
2018-056T23:09:41.3266Z [Feb 25] ( 24.632,  92.002)       2400           513      35     128     6542
2018-056T23:09:41.4413Z [Feb 25] ( 24.761,  92.366)        108             0       1       9     6542
2018-056T23:09:41.4769Z [Feb 25] ( 24.797,  92.022)      10443           980     127     551     6542
2018-056T23:09:41.5377Z [Feb 25] ( 24.793,  92.403)        453           594      15      32     6542
2018-056T23:09:41.5648Z [Feb 25] ( 24.505,  92.271)       1011            90      27      46     6542
2018-056T23:09:41.7130Z [Feb 25] ( 25.287,  91.642)         93           189       6       9     6542
2018-056T23:09:41.7703Z [Feb 25] ( 24.745,  92.421)       1573           349      22      84     6542
2018-056T23:09:42.6873Z [Feb 25] ( 25.107,  91.199)       1505           821      21      86     6542
2018-056T23:09:42.7586Z [Feb 25] ( 23.867,  89.831)        800           732      16      62     6542
2018-056T23:09:42.7642Z [Feb 25] ( 23.785,  89.956)         63             0       1       5     6542
2018-056T23:09:43.0883Z [Feb 25] ( 23.376,  91.081)        232           227       4      11     6542
2018-056T23:09:43.1310Z [Feb 25] ( 23.364,  91.127)        166            10       6      10     6542
2018-056T23:09:43.1506Z [Feb 25] ( 23.808,  90.027)        147           376       6      14     6542
2018-056T23:09:43.3440Z [Feb 25] ( 23.297,  91.098)         74             2       2       6     6542
2018-056T23:09:43.7325Z [Feb 25] ( 25.061,  92.305)        523           521      15      32     6542
2018-056T23:09:44.0531Z [Feb 25] ( 25.234,  91.749)       2525           627      32     118     6542
2018-056T23:09:44.1697Z [Feb 25] ( 25.213,  91.835)        833           243      18      42     6542
2018-056T23:09:44.3772Z [Feb 25] ( 25.137,  92.155)         21             0       1       2     6542
2018-056T23:09:45.3263Z [Feb 25] ( 23.647,  89.963)        152           231       5      14     6542
2018-056T23:09:45.9459Z [Feb 25] ( 23.955,  89.916)       3480           713      36     180     6542
2018-056T23:09:46.3609Z [Feb 25] ( 24.374,  91.785)        228           333       7      18     6542
2018-056T23:09:46.4097Z [Feb 25] ( 24.387,  91.852)        173            17       5      13     6542
2018-056T23:09:46.5292Z [Feb 25] ( 24.318,  91.682)        154            68       7      12     6542
2018-056T23:09:46.6152Z [Feb 25] ( 25.308,  91.913)         30             0       1       2     6542
2018-056T23:09:47.6252Z [Feb 25] ( 23.004,  90.736)        118            80       4      11     6542
2018-056T23:09:48.5383Z [Feb 25] ( 23.103,  90.835)        619           104      12      32     6542
2018-056T23:09:49.1418Z [Feb 25] ( 24.681,  93.019)        362           345       3      22     6542
2018-056T23:09:50.4845Z [Feb 25] ( 24.952,  92.057)         25             0       1       2     6542
2018-056T23:09:50.5327Z [Feb 25] ( 24.994,  92.110)       1819           563      25     115     6542
2018-056T23:09:50.6669Z [Feb 25] ( 24.205,  90.359)        982           555      21      62     6542
2018-056T23:09:50.8066Z [Feb 25] ( 24.900,  92.238)       4880          1059      58     277     6542
2018-056T23:09:52.1152Z [Feb 25] ( 23.976,  90.105)         21           100       2       2     6542
2018-056T23:09:52.2137Z [Feb 25] ( 24.012,  91.288)       2330           657      29     134     6542
2018-056T23:09:52.2513Z [Feb 25] ( 23.840,  90.125)       1203           148      12      51     6542
2018-056T23:09:54.5704Z [Feb 25] ( 23.918,  90.574)        485           669      10      35     6542
2018-056T23:09:54.9372Z [Feb 25] ( 22.815,  90.811)         26            62       2       2     6542
2018-056T23:09:55.7683Z [Feb 25] ( 23.033,  90.764)        346           250       8      23     6542
2018-056T23:09:55.8362Z [Feb 25] ( 25.439,  90.362)       1046           313      20      69     6542
2018-056T23:09:56.0060Z [Feb 25] ( 22.986,  90.915)         93           430       5       9     6542
2018-056T23:09:56.5327Z [Feb 25] ( 24.253,  90.561)       3929           578      30     188     6542
2018-056T23:09:56.7547Z [Feb 25] ( 24.324,  90.608)        274           119       4      22     6542
2018-056T23:09:56.8638Z [Feb 25] ( 24.457,  90.692)       4286          1011      41     217     6542
2018-056T23:09:56.8819Z [Feb 25] ( 24.492,  90.651)       2588           535      28     147     6542
2018-056T23:09:56.9980Z [Feb 25] ( 24.552,  90.622)       3763           479      28     166     6542
2018-056T23:09:57.0035Z [Feb 25] ( 24.182,  90.606)         62            41       2       5     6542
2018-056T23:09:57.0768Z [Feb 25] ( 24.361,  90.553)        269             0       1      12     6542
2018-056T23:09:57.1752Z [Feb 25] ( 24.459,  90.818)        427           136      12      32     6542
2018-056T23:09:57.2452Z [Feb 25] ( 24.363,  90.853)         21             1       2       2     6542
2018-056T23:09:57.8804Z [Feb 25] ( 24.051,  90.177)        637           288       8      31     6542
2018-056T23:09:58.1346Z [Feb 25] ( 25.448,  90.483)        880           361      13      54     6542
2018-056T23:09:58.5663Z [Feb 25] ( 23.890,  91.247)         36           256       3       3     6542
2018-056T23:09:58.5934Z [Feb 25] ( 23.911,  91.271)       2232           318      18      89     6542
2018-056T23:09:59.3687Z [Feb 25] ( 23.961,  91.106)       3068           607      21     125     6542
2018-056T23:10:00.7079Z [Feb 25] ( 24.239,  91.717)         61            42       3       5     6542
2018-056T23:10:00.8491Z [Feb 25] ( 24.043,  90.647)         22             0       1       2     6542
2018-056T23:10:02.6219Z [Feb 25] ( 23.329,  91.033)         56           234       4       5     6542
2018-056T23:10:03.6888Z [Feb 25] ( 25.298,  91.799)         11             0       1       1     6542
2018-056T23:10:05.3807Z [Feb 25] ( 24.362,  91.858)       3088           208      29     127     6542
2018-056T23:10:08.1434Z [Feb 25] ( 23.937,  90.118)        261           104       4      14     6542
2018-056T23:10:08.3836Z [Feb 25] ( 23.032,  90.910)       1588           472      15      55     6542
2018-056T23:10:08.8685Z [Feb 25] ( 23.091,  90.894)         45            76       4       4     6542
2018-056T23:10:08.9941Z [Feb 25] ( 24.476,  92.219)        754           143      20      45     6542
2018-056T23:10:09.0243Z [Feb 25] ( 24.543,  92.165)       3382           311      40     155     6542
2018-056T23:10:09.1981Z [Feb 25] ( 24.438,  92.352)         69            17       3       6     6542
2018-056T23:10:10.1740Z [Feb 25] ( 25.108,  92.840)       2730           592      59     149     6542
2018-056T23:10:10.2418Z [Feb 25] ( 23.547,  89.939)       1454           524      26      70     6542
2018-056T23:10:10.7323Z [Feb 25] ( 25.162,  91.099)        283           318      10      25     6542
2018-056T23:10:11.2016Z [Feb 25] ( 25.080,  91.033)        640           657       6      35     6542
2018-056T23:10:12.9096Z [Feb 25] ( 23.617,  90.700)         46            23       2       4     6542
