"lis_2017_135","20170319","20.822","89.063","75","36","4","7","1206","15:45:03.6762"
"lis_2017_136","20170319","20.725","88.250","22","0","1","2","1206","15:45:03.7586"
"lis_2017_137","20170319","20.718","87.586","23","102","2","2","1206","15:45:03.9289"
"lis_2017_138","20170319","20.813","87.615","2105","764","17","128","1206","15:45:04.0359"
"lis_2017_139","20170319","20.769","88.871","126","0","1","10","1206","15:45:04.4801"
"lis_2017_140","20170319","20.769","89.018","291","107","3","21","1206","15:45:04.7560"
"lis_2017_141","20170319","20.625","87.984","2228","490","30","100","1206","15:45:06.0680"
"lis_2017_142","20170319","20.834","89.015","878","553","19","64","1206","15:45:06.3961"
"lis_2017_143","20170319","20.666","87.801","84","146","3","7","1206","15:45:06.4318"
"lis_2017_144","20170319","20.653","87.873","747","207","9","35","1206","15:45:06.5675"
"lis_2017_145","20170319","21.247","89.130","1602","349","28","94","1206","15:45:06.7825"
"lis_2017_146","20170319","21.285","89.283","150","3","3","11","1206","15:45:07.0207"
"lis_2017_147","20170319","20.713","88.348","67","76","4","6","1206","15:45:08.0323"
"lis_2017_148","20170319","20.918","88.997","1213","123","17","65","1206","15:45:08.3796"
"lis_2017_149","20170319","20.755","88.288","21","0","1","2","1206","15:45:08.3886"
"lis_2017_150","20170319","20.995","89.014","56","5","2","4","1206","15:45:08.4208"
"lis_2017_151","20170319","20.741","87.564","34","62","2","3","1206","15:45:08.4278"
"lis_2017_152","20170319","20.776","88.318","2255","514","41","124","1206","15:45:08.9809"
"lis_2017_153","20170319","21.081","89.097","3272","561","44","180","1206","15:45:09.8533"
"lis_2017_154","20170319","20.744","87.900","511","547","9","36","1206","15:45:09.8729"
"lis_2017_155","20170319","20.739","87.612","2124","850","34","107","1206","15:45:10.0392"
"lis_2017_156","20170319","20.648","87.873","216","121","5","12","1206","15:45:11.0975"
"lis_2017_157","20170319","20.672","88.343","26","0","1","2","1206","15:45:11.1155"
"lis_2017_158","20170319","20.853","89.086","115","2","2","8","1206","15:45:12.0964"
"lis_2017_159","20170319","20.755","88.948","1039","429","9","70","1206","15:45:12.4814"
"lis_2017_160","20170319","20.928","89.101","1661","273","24","102","1206","15:45:12.6015"
"lis_2017_161","20170319","20.764","88.310","1345","521","12","57","1206","15:45:13.7938"
"lis_2017_162","20170319","20.703","87.859","3276","282","32","136","1206","15:45:14.1878"
"lis_2017_163","20170319","20.626","87.877","120","51","4","8","1206","15:45:14.8682"
"lis_2017_164","20170319","20.822","89.019","1168","367","10","52","1206","15:45:16.0244"
"lis_2017_165","20170319","20.751","87.635","755","1025","16","47","1206","15:45:16.8610"
"lis_2017_166","20170319","20.588","88.020","44","100","4","4","1206","15:45:17.3243"
"lis_2017_167","20170319","20.977","89.071","4857","594","53","239","1206","15:45:17.4158"
"lis_2017_168","20170319","20.714","88.230","70","173","2","5","1206","15:45:17.4319"
"lis_2017_169","20170319","20.547","87.967","69","0","1","2","1206","15:45:17.6666"
"lis_2017_170","20170319","20.662","87.882","138","98","2","10","1206","15:45:17.9922"
"lis_2017_171","20170319","20.902","89.026","51","0","1","4","1206","15:45:18.6299"
"lis_2017_172","20170319","20.633","87.886","2826","391","26","98","1206","15:45:19.3263"
"lis_2017_173","20170319","20.856","89.043","103","84","5","9","1206","15:45:20.0459"
"lis_2017_174","20170319","20.741","87.556","97","9","3","7","1206","15:45:20.2107"
"lis_2017_175","20170319","20.764","88.068","1832","594","16","100","1206","15:45:21.3880"
